date,open,high,low,close,volume
2025-08-28,6483.84,6508.23,6466.96,6501.86,4283760000
2025-08-29,6489.28,6491.76,6444.57,6460.26,4234840000
2025-09-02,6401.51,6416.54,6360.58,6415.54,4784000000
2025-09-03,6445.82,6453.67,6416.17,6448.26,4465360000
2025-09-04,6456.6,6502.54,6445.98,6502.08,4670770000
2025-09-05,6529.08,6532.65,6443.98,6481.5,5066120000
2025-09-08,6498.09,6508.67,6483.29,6495.15,5211500000
2025-09-09,6503.33,6518.23,6483.08,6512.61,4798350000
2025-09-10,6550.29,6555.97,6516.34,6532.04,5253010000
2025-09-11,6554.41,6592.89,6545.8,6587.47,5426460000
2025-09-12,6590.66,6600.21,6579.49,6584.29,4641640000
2025-09-15,6603.49,6619.62,6602.07,6615.28,5045020000
2025-09-16,6624.13,6626.99,6600.11,6606.76,5359510000
2025-09-17,6604.87,6624.39,6551.15,6600.35,5805340000
2025-09-18,6626.85,6656.8,6611.89,6631.96,5292400000
2025-09-19,6647.11,6671.82,6630.31,6664.36,9125960000
2025-09-22,6654.28,6698.88,6648.07,6693.75,5642620000
2025-09-23,6692.44,6699.52,6645.58,6656.92,5633620000
2025-09-24,6669.79,6672.66,6621.76,6637.97,5459180000
2025-09-25,6608.19,6619.0,6569.22,6604.72,5874670000
2025-09-26,6615.38,6648.97,6604.43,6643.7,5103110000
2025-09-29,6661.58,6677.31,6644.49,6661.21,5358760000
2025-09-30,6656.19,6691.25,6641.0,6688.46,6057210000
2025-10-01,6664.92,6718.48,6656.2,6711.2,6037950000
2025-10-02,6731.31,6731.94,6693.23,6715.35,5416130000
2025-10-03,6722.14,6750.87,6705.67,6715.79,5713110000
2025-10-06,6733.86,6749.52,6717.78,6740.28,5604460000
2025-10-07,6746.14,6754.49,6699.96,6714.59,5546150000
2025-10-08,6723.87,6755.64,6718.09,6753.72,5383130000
2025-10-09,6760.5,6764.58,6716.17,6735.11,5385020000
2025-10-10,6740.49,6762.4,6550.78,6552.51,6596610000
2025-10-13,6622.53,6668.68,6620.71,6654.72,5303960000
2025-10-14,6602.49,6680.7,6555.07,6644.31,5666920000
2025-10-15,6688.27,6724.12,6612.11,6671.06,5633060000
2025-10-16,6689.02,6709.34,6593.99,6629.07,6048180000
2025-10-17,6613.27,6678.88,6603.76,6664.01,5358120000
2025-10-20,6690.05,6744.35,6690.05,6735.13,4672170000
2025-10-21,6736.75,6752.16,6722.03,6735.35,5245020000
2025-10-22,6741.34,6741.75,6655.69,6699.4,5710010000
2025-10-23,6703.65,6749.53,6700.14,6738.44,5565750000
2025-10-24,6772.07,6807.11,6772.07,6791.69,5058220000
2025-10-27,6845.46,6877.28,6843.94,6875.16,5290650000
2025-10-28,6897.74,6911.3,6870.73,6890.89,5695930000
2025-10-29,6910.95,6920.34,6851.91,6890.59,6280130000
2025-10-30,6860.5,6880.75,6820.69,6822.34,6052700000
2025-10-31,6879.17,6879.17,6814.26,6840.2,6398280000
2025-11-03,6882.32,6882.32,6820.62,6851.97,6065720000
2025-11-04,6788.52,6820.21,6766.71,6771.55,5739510000
2025-11-05,6769.77,6829.78,6763.11,6796.29,5939600000
2025-11-06,6787.59,6796.68,6707.51,6720.32,6051900000
2025-11-07,6696.18,6730.11,6631.44,6728.8,5926070000
2025-11-10,6785.36,6841.32,6770.56,6832.43,5366050000
2025-11-11,6815.64,6855.13,6806.87,6846.61,4983490000
2025-11-12,6867.77,6869.91,6829.62,6850.92,5293610000
2025-11-13,6826.47,6828.05,6724.72,6737.49,5473720000
2025-11-14,6672.14,6774.31,6646.87,6734.11,5042660000
2025-11-17,6713.61,6754.5,6638.9,6672.41,5204220000
2025-11-18,6641.19,6666.63,6574.32,6617.32,5159390000
2025-11-19,6625.84,6689.75,6603.5,6642.16,5021610000
